CENTER_SD_CD,CENTER_SD_NM,CENTER_SGG_CD,CENTER_SGG_NM,TEST_YEAR,TEST_ALL_CNT,MEMB_CNT,AGE_GBN_CHILDREN_CNT,AGE_GBN_YOUTH_CNT,AGE_GBN_ADULT_CNT,AGE_GBN_CITIZEN_CNT,INPUT_GBN_ADMIN_CNT,INPUT_GBN_INBODY_CNT,TEST_GBN_GENERAL_CNT,TEST_GBN_TRIP_CNT,TEST_SEX_M,TEST_SEX_W,CERT_GBN_GOLD,CERT_GBN_SILVER,CERT_GBN_BRONZE,CERT_GBN_PARTICIPATION,TEST_AGE_YOUNGER10,TEST_AGE_TEENAGERS,TEST_AGE_TWENTIES,TEST_AGE_THIRTIES,TEST_AGE_FORTIES,TEST_AGE_FIFTIES,TEST_AGE_SIXTIES,TEST_AGE_OLDER70
11,서울,11650,서초구,2021,388,364,0,45,273,70,388,0,330,58,266,122,40,89,110,149,0,84,162,17,6,21,56,42
11,서울,11740,강동구,2022,670,576,0,23,412,235,656,0,670,0,447,223,56,147,174,293,0,35,123,31,31,69,257,124
11,서울,11440,마포구,2022,885,801,4,62,556,263,885,0,885,0,596,289,70,169,220,426,0,106,184,71,30,71,316,107
11,서울,11710,송파구,2014,1476,96,0,47,1124,305,1178,0,1453,23,590,886,24,126,328,998,0,83,265,207,182,262,334,143
11,서울,11650,서초구,2022,416,390,0,15,277,124,416,0,416,0,262,154,38,94,92,192,0,36,89,26,24,61,134,46
11,서울,11710,송파구,2011,82,1,0,0,82,0,0,0,82,0,48,34,7,16,30,29,0,1,28,26,20,6,1,0
11,서울,11440,마포구,2021,23,23,0,1,14,8,23,0,23,0,16,7,3,7,5,8,0,3,8,1,1,0,5,5
11,서울,11200,성동구,2022,138,135,0,4,84,50,138,0,138,0,89,49,10,30,47,51,0,5,10,7,2,25,69,20
11,서울,11200,성동구,2014,5587,177,0,629,3406,1552,1554,0,3786,1801,1972,3615,240,644,1107,3596,0,869,1427,368,445,641,812,1025
11,서울,11650,서초구,2020,134,132,0,6,112,16,75,59,84,50,107,27,7,14,39,74,0,26,81,1,2,3,12,9
11,서울,11200,성동구,2013,4148,122,0,0,2697,1451,2594,0,4148,0,1434,2714,171,469,921,2587,0,27,776,345,454,673,1019,854
11,서울,11350,노원구,2020,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
11,서울,11710,송파구,2010,2,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
11,서울,11305,강북구,2021,20,20,0,2,9,9,0,0,20,0,17,3,2,3,3,12,0,2,2,0,0,0,12,4
11,서울,11305,강북구,2022,662,615,156,32,310,164,161,0,507,155,469,193,58,115,143,346,0,213,77,15,27,50,215,65
11,서울,11410,서대문구,2021,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11,서울,11140,중구,2021,72,67,0,0,43,29,7,0,66,6,50,22,3,16,20,33,0,2,13,3,1,12,23,18
11,서울,11650,서초구,2014,5771,94,0,89,4445,1237,2031,0,3777,1994,2225,3546,310,717,1264,3480,0,777,1986,617,371,477,782,761
11,서울,11740,강동구,2021,50,46,0,0,20,30,50,0,50,0,20,30,1,10,18,21,0,0,4,1,1,3,19,22
26,부산,26470,연제구,2022,1120,1067,745,32,285,58,772,0,372,748,612,508,52,144,209,715,0,796,135,59,34,22,41,33
26,부산,26380,사하구,2015,5260,1493,0,2187,2572,501,3738,0,2085,3175,2850,2410,161,535,1068,3496,0,2280,763,238,337,748,689,205
26,부산,26290,남구,2012,2984,24,0,0,2984,0,2389,0,2984,0,1128,1856,74,251,699,1960,4,192,479,659,698,713,239,0
26,부산,26410,금정구,2013,3474,5,0,0,2321,1153,2257,0,3474,0,1663,1811,145,327,856,2146,0,269,1162,118,259,400,417,849
26,부산,26470,연제구,2020,3,2,0,0,3,0,0,0,3,0,2,1,0,0,0,3,0,0,3,0,0,0,0,0
26,부산,26380,사하구,2022,841,716,18,395,293,135,841,0,289,552,460,381,70,144,192,435,0,468,74,49,54,35,73,88
26,부산,26410,금정구,2014,26,1,0,0,7,19,0,0,26,0,21,5,0,3,7,16,0,0,1,2,2,2,9,10
26,부산,26290,남구,2011,9,2,0,0,9,0,7,0,9,0,2,7,0,0,4,5,0,0,1,1,6,1,0,0
26,부산,26320,북구,2014,3662,53,0,616,2596,450,764,0,2661,1001,1158,2504,236,546,869,2011,0,825,563,400,656,565,415,238
26,부산,26170,동구,2021,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
26,부산,26380,사하구,2021,55,53,0,14,41,0,55,0,0,55,35,20,3,8,11,33,0,46,9,0,0,0,0,0
26,부산,26170,동구,2022,470,416,107,20,271,72,130,0,349,121,198,272,25,78,95,272,0,142,86,46,68,30,63,35
26,부산,26290,남구,2014,4501,64,0,815,2864,822,1258,0,2490,2011,1904,2597,177,423,759,3142,0,931,661,591,737,539,587,455
26,부산,26410,금정구,2022,384,321,74,23,263,24,156,228,284,100,222,162,28,62,83,211,0,118,144,62,17,12,17,14
26,부산,26470,연제구,2021,9,9,0,0,9,0,9,0,0,9,9,0,0,2,0,7,0,0,2,6,1,0,0,0
26,부산,26530,사상구,2021,641,547,0,141,488,12,638,3,620,21,476,165,34,90,177,340,0,281,254,47,25,16,12,6
26,부산,26530,사상구,2022,1705,1655,0,1371,324,10,1705,0,377,1328,1251,454,73,223,361,1048,0,1404,196,39,23,21,18,4
26,부산,26290,남구,2013,3673,58,0,0,2337,1336,1875,0,3673,0,1111,2562,256,522,783,2112,0,34,345,414,584,615,940,741
27,대구,27290,달서구,2013,4127,46,0,0,2853,1274,2656,0,4127,0,1635,2492,199,512,986,2430,0,62,677,358,499,760,1006,765
27,대구,27260,수성구,2022,422,353,1,17,378,26,10,0,422,0,233,189,42,69,93,218,0,72,130,30,32,105,43,10
27,대구,27290,달서구,2021,161,148,0,6,121,34,0,161,161,0,119,42,21,39,35,66,0,20,51,17,16,7,33,17
27,대구,27290,달서구,2014,4174,68,0,944,2263,967,2112,0,3152,1022,1699,2475,125,463,844,2742,0,1089,607,259,337,542,722,618
27,대구,27290,달서구,2022,357,296,0,12,326,19,20,337,357,0,202,155,30,66,102,159,0,28,127,56,58,57,22,9
28,인천,28140,동구,2020,76,75,0,0,76,0,42,0,37,39,54,22,4,4,17,51,0,0,14,19,13,26,4,0
28,인천,28140,동구,2022,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
28,인천,28140,동구,2021,271,230,2,48,196,25,1,0,271,0,210,61,15,58,70,128,0,76,121,10,5,13,27,19
28,인천,28185,연수구,2021,43,41,0,2,22,19,6,0,43,0,33,10,1,5,19,18,0,3,15,1,0,1,13,10
28,인천,28170,미추홀구,2020,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
28,인천,28185,연수구,2015,4266,408,0,468,2079,1719,3461,385,1904,2362,1925,2341,156,518,988,2604,0,656,773,265,294,323,863,1092
28,인천,28185,연수구,2022,38,37,0,2,17,19,3,0,38,0,22,16,1,10,15,12,0,2,11,1,1,2,13,8
29,광주,29200,광산구,2011,2,1,0,0,2,0,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0
29,광주,29200,광산구,2013,4315,25,0,0,3090,1225,14,0,4315,0,1723,2592,95,379,1000,2841,0,119,1050,639,535,509,592,871
29,광주,29200,광산구,2021,502,453,11,69,300,122,502,0,270,232,274,228,16,58,106,322,0,132,129,35,22,38,46,100
29,광주,29200,광산구,2014,4611,37,0,121,3165,1325,3,0,3204,1407,1524,3087,92,352,884,3283,0,230,979,546,579,653,686,938
29,광주,29170,북구,2022,251,241,0,64,136,51,251,0,187,64,107,144,19,37,63,132,0,73,33,8,7,52,51,27
29,광주,29200,광산구,2012,3020,8,0,0,3020,0,1584,0,3020,0,846,2174,114,276,720,1910,10,197,581,515,699,706,311,1
29,광주,29200,광산구,2022,63,62,0,0,63,0,63,0,12,51,19,44,0,3,3,57,0,0,3,2,40,18,0,0
29,광주,29140,서구,2020,2,2,0,0,2,0,0,0,2,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0
29,광주,29170,북구,2021,853,836,0,558,264,31,853,0,138,715,454,399,60,92,163,538,0,606,77,34,34,59,19,24
30,대전,30170,서구,2013,3984,53,0,0,2477,1507,636,0,3984,0,1317,2667,126,393,840,2625,0,91,341,370,551,749,908,974
30,대전,30170,서구,2015,5139,233,0,1134,3023,982,3264,0,2720,2419,2158,2981,111,440,1108,3480,0,1392,770,495,728,562,510,682
30,대전,30170,서구,2014,4289,77,0,413,2598,1278,3,0,2787,1502,1474,2815,95,363,928,2903,0,613,597,469,614,549,551,896
30,대전,30170,서구,2021,162,149,0,17,108,37,162,0,130,32,110,52,20,41,40,61,0,64,36,8,2,2,22,28
30,대전,30170,서구,2022,508,434,1,42,408,57,508,0,452,56,346,162,52,76,118,262,0,117,190,41,30,40,56,34
31,울산,31140,남구,2017,373,241,0,2,332,39,373,0,317,56,86,287,7,41,62,263,0,9,56,22,83,109,79,15
41,경기,41210,광명시,2012,3060,1,0,0,3060,0,1447,0,3060,0,649,2411,86,261,625,2088,1,88,347,539,702,968,414,1
